 _____ _____ _____               _ 
|     |     |     |___ ___ ___ _| |
|   --|   --| | | | . |  _| -_| . |
|_____|_____|_|_|_|  _|_| |___|___|
                  |_|              

using CPU (8 thread(s))

Reweighted 16243 sequences with threshold 0.8 to Beff=4965.67 weight mean=0.305711, min=0.00151286, max=1

Will optimize 4957196 32-bit variables

iter	eval	f(x)    	║x║     	║g║     	step
1   	1   	798912  	55683.9 	3.2271721e+09	1.45e-05
2   	1   	767882  	55682.5 	2.3702518e+09	1.21e-05
3   	1   	737045  	55683.3 	1.6562454e+09	1.22e-05
4   	1   	706998  	55687.8 	1.0775757e+09	1.46e-05
5   	1   	677654  	55700.5 	7.4751546e+08	2.06e-05
6   	1   	648742  	55728.7 	4.9755565e+08	2.91e-05
7   	1   	621031  	55784.6 	3.6121389e+08	4.4e-05
8   	1   	594318  	55891.8 	2.8652579e+08	6.54e-05
9   	1   	570315  	56084.8 	3.8401814e+08	9.19e-05
10  	2   	557790  	56253.2 	2.6597248e+08	4.34e-05
11  	1   	545015  	56473.2 	2.3506866e+08	6.61e-05
12  	1   	533009  	56741.9 	3.3424589e+08	7.48e-05
13  	1   	522275  	57100.4 	3.18156e+08	5.77e-05
14  	2   	515664  	57352.7 	1.5588275e+08	3.71e-05
15  	1   	509574  	57573.5 	2.6339974e+08	6.22e-05
16  	1   	502814  	57820.8 	1.71362e+08	3.78e-05
17  	1   	496976  	58052.4 	2.2063626e+08	5.11e-05
18  	1   	490798  	58341.7 	2.1364573e+08	4.58e-05
19  	1   	485155  	58653.2 	2.358213e+08	4.67e-05
20  	1   	479947  	59049.1 	2.2913006e+08	4.88e-05
21  	2   	476941  	59293.6 	1.5825614e+08	2.88e-05
22  	1   	474039  	59512.8 	1.5125058e+08	3.59e-05
23  	1   	470909  	59736.6 	1.535636e+08	3.77e-05
24  	1   	467684  	59946.8 	1.498312e+08	3.38e-05
25  	1   	464391  	60147.1 	1.1423472e+08	3.22e-05
26  	1   	461400  	60334.2 	1.256092e+08	3.92e-05
27  	1   	458116  	60549.2 	1.2681098e+08	3.94e-05
28  	1   	455161  	60752.2 	93399120	3.58e-05
29  	1   	452392  	60987.8 	1.5742747e+08	5.47e-05
30  	1   	449545  	61270   	1.2891249e+08	3.73e-05
31  	2   	447963  	61415.9 	84505232	2.3e-05
32  	1   	446398  	61542.5 	87269704	3.09e-05
33  	1   	444736  	61663.4 	78704312	2.87e-05
34  	1   	443075  	61772.2 	77615248	2.91e-05
35  	1   	441366  	61872.6 	67094536	2.81e-05
36  	1   	439741  	61964.3 	64030200	3.03e-05
37  	1   	438032  	62059.3 	71462480	3.3e-05
38  	1   	436359  	62150.9 	53768448	2.8e-05
39  	1   	434789  	62238   	66336952	3.73e-05
40  	1   	433194  	62333.7 	63158040	3.32e-05
41  	1   	431799  	62436.2 	71048664	3.58e-05
42  	2   	430933  	62499.1 	63546260	1.97e-05
43  	1   	430092  	62549.4 	40213768	1.77e-05
44  	1   	429289  	62593   	48237168	2.63e-05
45  	1   	428423  	62637.9 	53707728	2.29e-05

Done with status code 0 - Success!

Final fx = 427550.687500

xnorm = 62.3455
Output can be found in T0900.ccmpred
